ts,symbol_id,currency,quantity,average_price
2022-01-04T21:00:00Z,8,USD,100.0,591.2977875
2022-01-04T21:00:00Z,10,USD,100.0,248.2920575
2022-01-04T21:00:00Z,25,USD,-100.0,216.97074375
2022-01-04T21:00:00Z,26,USD,-100.0,373.11169875
2022-01-04T21:00:00Z,27,USD,100.0,52.8284038
2022-01-04T21:00:00Z,29,USD,-100.0,58.542860625
2022-01-04T21:00:00Z,31,USD,100.0,616.78715825
2022-01-04T21:00:00Z,36,USD,-100.0,50.682826125
2022-01-05T21:00:00Z,8,USD,100.0,591.2977875
2022-01-05T21:00:00Z,10,USD,100.0,248.2920575
2022-01-05T21:00:00Z,25,USD,0.0,0.0
2022-01-05T21:00:00Z,26,USD,0.0,0.0
2022-01-05T21:00:00Z,27,USD,0.0,0.0
2022-01-05T21:00:00Z,29,USD,-100.0,58.542860625
2022-01-05T21:00:00Z,31,USD,0.0,0.0
2022-01-05T21:00:00Z,36,USD,-100.0,50.682826125
2022-01-05T21:00:00Z,2,USD,100.0,308.4630965
2022-01-05T21:00:00Z,3,USD,100.0,137.3123195
2022-01-05T21:00:00Z,4,USD,100.0,164.39808925
2022-01-05T21:00:00Z,6,USD,100.0,324.2510425
2022-01-05T21:00:00Z,7,USD,100.0,27.564589424999998
2022-01-05T21:00:00Z,9,USD,100.0,514.5586075
2022-01-05T21:00:00Z,13,USD,100.0,136.1840375
2022-01-05T21:00:00Z,17,USD,100.0,159.755929
2022-01-05T21:00:00Z,18,USD,100.0,46.117426475
2022-01-05T21:00:00Z,32,USD,100.0,60.276565375
2022-01-05T21:00:00Z,34,USD,-100.0,72.350207925
2022-01-06T21:00:00Z,8,USD,100.0,591.2977875
2022-01-06T21:00:00Z,10,USD,0.0,0.0
2022-01-06T21:00:00Z,25,USD,0.0,0.0
2022-01-06T21:00:00Z,26,USD,0.0,0.0
2022-01-06T21:00:00Z,27,USD,0.0,0.0
2022-01-06T21:00:00Z,29,USD,0.0,0.0
2022-01-06T21:00:00Z,31,USD,0.0,0.0
2022-01-06T21:00:00Z,36,USD,0.0,0.0
2022-01-06T21:00:00Z,2,USD,0.0,0.0
2022-01-06T21:00:00Z,3,USD,0.0,0.0
2022-01-06T21:00:00Z,4,USD,0.0,0.0
2022-01-06T21:00:00Z,6,USD,0.0,0.0
2022-01-06T21:00:00Z,7,USD,0.0,0.0
2022-01-06T21:00:00Z,9,USD,0.0,0.0
2022-01-06T21:00:00Z,13,USD,0.0,0.0
2022-01-06T21:00:00Z,17,USD,100.0,159.755929
2022-01-06T21:00:00Z,18,USD,100.0,46.117426475
2022-01-06T21:00:00Z,32,USD,100.0,60.276565375
2022-01-06T21:00:00Z,34,USD,0.0,0.0
2022-01-06T21:00:00Z,22,USD,100.0,444.8291795
2022-01-07T21:00:00Z,8,USD,0.0,0.0
2022-01-07T21:00:00Z,10,USD,0.0,0.0
2022-01-07T21:00:00Z,25,USD,0.0,0.0
2022-01-07T21:00:00Z,26,USD,0.0,0.0
2022-01-07T21:00:00Z,27,USD,0.0,0.0
2022-01-07T21:00:00Z,29,USD,0.0,0.0
2022-01-07T21:00:00Z,31,USD,0.0,0.0
2022-01-07T21:00:00Z,36,USD,-100.0,52.03238865
2022-01-07T21:00:00Z,2,USD,0.0,0.0
2022-01-07T21:00:00Z,3,USD,0.0,0.0
2022-01-07T21:00:00Z,4,USD,0.0,0.0
2022-01-07T21:00:00Z,6,USD,0.0,0.0
2022-01-07T21:00:00Z,7,USD,0.0,0.0
2022-01-07T21:00:00Z,9,USD,0.0,0.0
2022-01-07T21:00:00Z,13,USD,0.0,0.0
2022-01-07T21:00:00Z,17,USD,100.0,159.755929
2022-01-07T21:00:00Z,18,USD,100.0,46.117426475
2022-01-07T21:00:00Z,32,USD,100.0,60.276565375
2022-01-07T21:00:00Z,34,USD,-100.0,73.652282325
2022-01-07T21:00:00Z,22,USD,100.0,444.8291795
2022-01-07T21:00:00Z,16,USD,100.0,176.640149
2022-01-07T21:00:00Z,20,USD,-100.0,169.453626
2022-01-07T21:00:00Z,23,USD,100.0,384.047988
2022-01-07T21:00:00Z,33,USD,100.0,532.7511545
2022-01-10T21:00:00Z,8,USD,0.0,0.0
2022-01-10T21:00:00Z,10,USD,0.0,0.0
2022-01-10T21:00:00Z,25,USD,100.0,206.847699
2022-01-10T21:00:00Z,26,USD,0.0,0.0
2022-01-10T21:00:00Z,27,USD,0.0,0.0
2022-01-10T21:00:00Z,29,USD,0.0,0.0
2022-01-10T21:00:00Z,31,USD,0.0,0.0
2022-01-10T21:00:00Z,36,USD,0.0,0.0
2022-01-10T21:00:00Z,2,USD,0.0,0.0
2022-01-10T21:00:00Z,3,USD,0.0,0.0
2022-01-10T21:00:00Z,4,USD,0.0,0.0
2022-01-10T21:00:00Z,6,USD,0.0,0.0
2022-01-10T21:00:00Z,7,USD,0.0,0.0
2022-01-10T21:00:00Z,9,USD,0.0,0.0
2022-01-10T21:00:00Z,13,USD,0.0,0.0
2022-01-10T21:00:00Z,17,USD,100.0,159.755929
2022-01-10T21:00:00Z,18,USD,100.0,46.117426475
2022-01-10T21:00:00Z,32,USD,0.0,0.0
2022-01-10T21:00:00Z,34,USD,-100.0,73.652282325
2022-01-10T21:00:00Z,22,USD,0.0,0.0
2022-01-10T21:00:00Z,16,USD,0.0,0.0
2022-01-10T21:00:00Z,20,USD,0.0,0.0
2022-01-10T21:00:00Z,23,USD,100.0,384.047988
2022-01-10T21:00:00Z,33,USD,100.0,532.7511545
