ts,order_id,symbol_id,price,quantity,venue,cost
2022-01-04T21:00:00Z,bb_long_NFLX,8,591.2977875,100,XNAS,0.5
2022-01-04T21:00:00Z,bb_long_CRM,10,248.2920575,100,XNAS,0.5
2022-01-04T21:00:00Z,bb_short_V,25,216.97074375,100,XNYS,0.9940053437000002
2022-01-04T21:00:00Z,bb_short_MA,26,373.11169875,100,XNYS,1.3390768542
2022-01-04T21:00:00Z,bb_long_PFE,27,52.8284038,100,XNYS,0.5
2022-01-04T21:00:00Z,bb_short_KO,29,58.542860625,100,XNYS,0.643879722
2022-01-04T21:00:00Z,bb_long_TMO,31,616.78715825,100,XNYS,0.5
2022-01-04T21:00:00Z,bb_short_VZ,36,50.682826125,100,XNYS,0.6265090457
2022-01-05T21:00:00Z,bb_long_MSFT,2,308.4630965,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_GOOGL,3,137.3123195,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_AMZN,4,164.39808925,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_META,6,324.2510425,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_NVDA,7,27.564589425,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_ADBE,9,514.5586075,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_long_AMD,13,136.1840375,100,XNAS,0.5
2022-01-05T21:00:00Z,bb_flatten_JPM,17,159.755929,100,XNYS,0.5
2022-01-05T21:00:00Z,bb_flatten_BAC,18,46.117426475,100,XNYS,0.5
2022-01-05T21:00:00Z,bb_flatten_V,25,214.67465525,100,XNYS,0.5
2022-01-05T21:00:00Z,bb_flatten_MA,26,371.81192975,100,XNYS,0.5
2022-01-05T21:00:00Z,bb_flatten_PFE,27,53.866430025,100,XNYS,0.6335448104
2022-01-05T21:00:00Z,bb_flatten_TMO,31,616.99871175,100,XNYS,1.8780671530000002
2022-01-05T21:00:00Z,bb_long_AVGO,32,60.276565375,100,XNYS,0.5
2022-01-05T21:00:00Z,bb_short_MRK,34,72.350207925,100,XNYS,0.6743939595
2022-01-06T21:00:00Z,bb_flatten_MSFT,2,305.8655145,100,XNAS,1.190462787
2022-01-06T21:00:00Z,bb_flatten_GOOGL,3,137.21668725,100,XNAS,0.8177488788
2022-01-06T21:00:00Z,bb_flatten_AMZN,4,163.2131865,100,XNAS,0.8752011422
2022-01-06T21:00:00Z,bb_flatten_META,6,332.376885,100,XNAS,1.2490529158
2022-01-06T21:00:00Z,bb_flatten_NVDA,7,28.12396725,100,XNAS,0.5766539676
2022-01-06T21:00:00Z,bb_flatten_ADBE,9,513.99147,100,XNAS,1.6504211487
2022-01-06T21:00:00Z,bb_flatten_CRM,10,229.0927125,100,XNAS,1.0207948946
2022-01-06T21:00:00Z,bb_flatten_AMD,13,136.1959425,100,XNAS,0.8154930329000001
