ts,order_id,symbol_id,price,quantity,venue,cost
2024-02-01T21:00:00Z,roc_flatten_AAPL,1,112.97175,100,XNYS,0.0
2024-02-01T21:00:00Z,roc_flatten_MSFT,2,225.9435,100,XNYS,0.0
2024-02-02T21:00:00Z,roc_flatten_GOOGL,3,173.9565,100,XNYS,0.0
2024-02-05T21:00:00Z,roc_short_GOOGL,3,171.957,100,XNYS,0.0
2024-02-06T21:00:00Z,roc_short_AAPL,1,109.9725,100,XNYS,0.0
2024-02-06T21:00:00Z,roc_short_MSFT,2,219.945,100,XNYS,0.0
2024-02-13T21:00:00Z,roc_flatten_AAPL,1,113.02825,100,XNYS,0.0
2024-02-13T21:00:00Z,roc_flatten_MSFT,2,226.0565,100,XNYS,0.0
2024-02-14T21:00:00Z,roc_flatten_GOOGL,3,178.0445,100,XNYS,0.0
2024-02-15T21:00:00Z,roc_long_GOOGL,3,180.045,100,XNYS,0.0
2024-02-16T21:00:00Z,roc_long_AAPL,1,116.029,100,XNYS,0.0
2024-02-16T21:00:00Z,roc_long_MSFT,2,232.058,100,XNYS,0.0
